run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,minute,ppm
2,10/23/2025,24,23,SUW,H,ppm_0,672
2,10/23/2025,24,23,SUW,H,ppm_1,698
2,10/23/2025,24,23,SUW,H,ppm_2,720
2,10/23/2025,24,23,SUW,H,ppm_3,739
2,10/23/2025,24,23,SUW,H,ppm_4,759
2,10/23/2025,24,23,SUW,H,ppm_5,777
2,10/23/2025,24,23,SUW,H,ppm_6,795
2,10/23/2025,30,20,BUD,A,ppm _room,516
2,10/23/2025,30,20,BUD,A,ppm_0,855
2,10/23/2025,30,20,BUD,A,ppm_1,924
2,10/23/2025,30,20,BUD,A,ppm_2,973
2,10/23/2025,30,20,BUD,A,ppm_3,1007
2,10/23/2025,30,20,BUD,A,ppm_4,1039
2,10/23/2025,30,20,BUD,A,ppm_5,1065
2,10/23/2025,30,20,BUD,A,ppm_6,1090
2,10/23/2025,30,19,BCD,B,ppm _room,672
2,10/23/2025,30,19,BCD,B,ppm_0,731
2,10/23/2025,30,19,BCD,B,ppm_1,745
2,10/23/2025,30,19,BCD,B,ppm_2,755
2,10/23/2025,30,19,BCD,B,ppm_3,766
2,10/23/2025,30,19,BCD,B,ppm_4,776
2,10/23/2025,30,19,BCD,B,ppm_5,786
2,10/23/2025,30,19,BCD,B,ppm_6,795
2,10/23/2025,30,17,BCW,C,ppm _room,675
2,10/23/2025,30,17,BCW,C,ppm_0,697
2,10/23/2025,30,17,BCW,C,ppm_1,719
2,10/23/2025,30,17,BCW,C,ppm_2,740
2,10/23/2025,30,17,BCW,C,ppm_3,760
2,10/23/2025,30,17,BCW,C,ppm_4,778
2,10/23/2025,30,17,BCW,C,ppm_5,795
2,10/23/2025,30,17,BCW,C,ppm_6,810
2,10/23/2025,30,22,SCD,D,ppm _room,675
2,10/23/2025,30,22,SCD,D,ppm_0,700
2,10/23/2025,30,22,SCD,D,ppm_1,741
2,10/23/2025,30,22,SCD,D,ppm_2,784
2,10/23/2025,30,22,SCD,D,ppm_3,820
2,10/23/2025,30,22,SCD,D,ppm_4,855
2,10/23/2025,30,22,SCD,D,ppm_5,888
