nr,run,tt,treatment,aboveground,tray,placement,3-4 mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
nr,run,tt,treatment,aboveground,tray,placement,3-4 mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
31,1,C,BCW,salix_stem,1,C7,3.999,,411,EliseLabAboveTray1_31.raw,6.4013885,-3.801725551,6.039067,-30.28935371,3.999,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.070917559,1.681272971,1.773382315,42.04233487,23.70742875,-3.738371384,-30.38914963,0.366,-3.738371384,0.364889455,-0.001110545,17.73382315,-0.196942007,-11.10544556,1.077,-30.38914963,1.077808432,0.000808432,420.4233487,3.398838273,8.084323298
32,1,D,BCD,salix_stem,1,C8,1.572,det var alt der var,412,EliseLabAboveTray1_32.raw,2.046789625,-4.391762585,2.7376395,-29.86121673,1.572,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.022675287,0.762157349,1.442448303,48.48329194,33.61180559,-4.328408417,-29.96101265,0.366,-4.328408417,0.364674137,-0.001325863,14.42448303,-0.191248833,-13.25862649,1.077,-29.96101265,1.078279213,0.001279213,484.8329194,6.202045154,12.79212881
33,1,E,SUW,salix_stem,1,C9,3.408,,413,EliseLabAboveTray1_33.raw,4.8867585,-3.412708649,5.3800915,-30.71634737,3.408,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.054137783,1.49781455,1.588549978,43.94995746,27.66671371,-3.349354481,-30.81614328,0.366,-3.349354481,0.365031416,-0.000968584,15.88549978,-0.153864384,-9.685838434,1.077,-30.81614328,1.077338905,0.000338905,439.4995746,1.489483921,3.389045194
34,1,F,SCD,salix_stem,1,C10,3.651,,414,EliseLabAboveTray1_34.raw,3.78031925,-6.315824923,5.7163895,-30.38175588,3.651,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.041880135,1.591439731,1.14708668,43.58914628,37.99987136,-6.252470756,-30.48155179,0.366,-6.252470756,0.363971996,-0.002028004,11.4708668,-0.232629608,-20.28003746,1.077,-30.48155179,1.077706826,0.000706826,435.8914628,3.080994537,7.068260795
35,1,G,SUD,salix_stem,1,C11,3.884,,415,EliseLabAboveTray1_35.raw,4.12384675,-5.045574866,5.962122,-31.19723302,3.884,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.045685892,1.659851525,1.176258808,42.73562114,36.33181819,-4.982220698,-31.29702894,0.366,-4.982220698,0.364435545,-0.001564455,11.76258808,-0.184020384,-15.64454885,1.077,-31.29702894,1.076810111,-0.000189889,427.3562114,-0.811502354,-1.898889807
36,1,A,SCW,salix_leaf,1,C12,3.139,,416,EliseLabAboveTray1_36.raw,3.68464625,-4.711639375,4.9051005,-30.64526482,3.139,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.040820225,1.365577314,1.300421303,43.50357801,33.45344921,-4.648285207,-30.74506074,0.366,-4.648285207,0.364557407,-0.001442593,13.00421303,-0.187597924,-14.42593441,1.077,-30.74506074,1.077417068,0.000417068,435.0357801,1.814395565,4.170681236
,,,,,,,,PEACH,417,peach 3554u.raw,8.970999,1.865956625,5.486989,-26.04337495,3.354,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.099384899,1.527574756,2.96317528,45.54486452,15.37029039,1.929310792,-26.14317086,0.366,1.929310792,0.366957676,0.000957676,29.6317528,0.2837761,9.576757138,1.077,-26.14317086,1.082477124,0.005477124,455.4486452,24.94548544,54.77123646
37,1,B,BUW,salix_leaf,1,D1,3.431,,418,EliseLabAboveTray1_37.raw,6.624754,-1.139276445,5.2595465,-30.47873132,3.431,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.073392106,1.464254888,2.139087894,42.67720454,19.95112246,-1.075922277,-30.57852723,0.366,-1.075922277,0.365861033,-0.000138967,21.39087894,-0.0297263,-1.389671724,1.077,-30.57852723,1.077600191,0.000600191,426.7720454,2.561446499,6.001907872
38,1,C,BCW,salix_leaf,1,D2,3.916,,419,EliseLabAboveTray1_38.raw,7.1008305,-3.285431407,5.871421,-30.70591913,3.916,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.078666303,1.634600416,2.008843272,41.74158366,20.77891503,-3.222077239,-30.80571504,0.366,-3.222077239,0.365077862,-0.000922138,20.08843272,-0.185243012,-9.221377028,1.077,-30.80571504,1.077350372,0.000350372,417.4158366,1.462506552,3.503716017
40,1,E,SUW,salix_leaf,1,D3,3.307,,420,EliseLabAboveTray1_39.raw,4.3875965,-3.848326327,5.21334,-30.510916,3.307,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.048607834,1.451391023,1.469846824,43.88844945,29.85919942,-3.784972159,-30.61071192,0.366,-3.784972159,0.36487245,-0.00112755,14.69846824,-0.165732611,-11.27550217,1.077,-30.61071192,1.0775648,0.0005648,438.8844945,2.478820021,5.648000903
