run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,atmospheric_pressure,thaw_depth_center,thaw_depth_periphery,soil_pipe_cm_1,soil_pipe_cm_2,soil_pipe_cm_3,pipe_lid_cm_1,pipe_lid_cm_2,pipe_lid_cm_3,C13_pipe_lid_cm_1,C13_pipe_lid_cm_2,C13_pipe_lid_cm_3,,comment
6,12/4/2025,120,55,SUD,C,1015,5.4,5.3,3.3,4,4,0.7,0.6,0.9,-,-,-,,
6,12/4/2025,120,54,SCW,D,1014,5.5,6.4,2.8,4.2,3.8,0.7,0.7,0.4,-,-,-,,
6,12/4/2025,120,50,BCW,E,1014,5.5,5.7,4.8,3,3.4,1.2,0.8,0.5,-,-,-,,
6,12/4/2025,120,51,BUW,F,1014,4.3,4.9,2.3,4.5,4.3,0.5,0.8,0.4,-,-,-,,
6,12/4/2025,120,56,SUW,G,1014,7.0,7.0,3.9,3.5,3.8,1.1,0.2,0.1,-,-,-,,
6,12/4/2025,120,52,BCD,H,1014,6.3,6.6,4.6,4.5,5,0.6,0.1,1,-,-,-,,
6,12/4/2025,126,53,SCD,A,1015,-,-,4.4,4.6,5,0.1,0.8,0.5,-,-,-,,
6,12/4/2025,126,49,BUD,B,1015,-,-,3,2.9,4,0.3,0.5,0.6,-,-,-,,
6,12/4/2025,126,55,SUD,C,1015,-,-,3.3,4,4,0.7,0.3,0.6,-,-,-,,
6,12/4/2025,126,54,SCW,D,1015,-,-,2.8,4.2,3.8,0.8,0.6,0.4,-,-,-,,
6,12/4/2025,126,50,BCW,E,1015,-,-,4.8,3,3.4,1,0.7,0.5,-,-,-,,
6,12/4/2025,126,51,BUW,F,1016,-,-,2.3,4.5,4.3,0.6,0.8,0.2,-,-,-,,
6,12/4/2025,126,56,SUW,G,1016,-,-,3.9,3.5,3.8,0.5,0.7,0.1,-,-,-,,
6,12/4/2025,126,52,BCD,H,1016,-,-,4.6,4.5,5,0.7,0.6,0.1,-,-,-,,
6,12/4/2025,132,53,SCD,A,1016,3.8,4.3,4.4,4.6,5,1.1,0.8,0.7,-,-,-,,
6,12/4/2025,132,49,BUD,B,1016,5.3,5.2,3,2.9,4,1,0.5,0.7,-,-,-,,
6,12/4/2025,132,55,SUD,C,1016,4.2,4.4,3.3,4,4,1.1,1,0.9,-,-,-,,
6,12/4/2025,132,54,SCW,D,1016,3.2,4.9,2.8,4.2,3.8,0.6,0.5,0.4,-,-,-,,
6,12/4/2025,132,50,BCW,E,1016,5.5,3.8,4.8,3,3.4,0.5,0.7,1.1,-,-,-,,
6,12/4/2025,132,51,BUW,F,1016,4.1,3.9,2.3,4.5,4.3,0.9,0.8,0.4,-,-,-,,
6,12/4/2025,132,56,SUW,G,1015,5.9,5.2,3.9,3.5,3.8,0.2,0.4,0.7,-,-,-,,
6,12/4/2025,132,52,BCD,H,1015,4.1,4.5,4.6,4.5,5,0.4,0.8,0.4,-,-,-,,
