run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,atmospheric_pressure,thaw_depth_cm,thaw_depth_center,thaw_depth_periphery,soil_pipe_cm_1,soil_pipe_cm_2,soil_pipe_cm_3,pipe_lid_cm_1,pipe_lid_cm_2,pipe_lid_cm_3,C13_pipe_lid_cm_1,C13_pipe_lid_cm_2,C13_pipe_lid_cm_3,,comment
3,11/3/2025,24,27,BCW,B,1005,3.6,1.2,1.5,2.9,4.4,3.2,1.1,0.9,1,0.6,1.3,1.5,,
3,11/3/2025,24,26,BUD,C,1005,2.7,1.1,1.4,3.3,2.6,2.6,0.7,0.7,1.3,1.4,0.6,0.7,,
3,11/3/2025,24,29,SUW,D,1005,3.4,1.9,1.8,3.8,3.9,3.7,1.6,1.3,0.9,0.9,0.6,1.1,,
3,11/3/2025,24,32,SCD,E,1005,4.6,2.1,2.4,3.7,3.2,4.4,1,0.9,0.7,0.8,1.4,1.3,,
3,11/3/2025,24,30,SUD,F,1005,2.9,2.1,2.8,2.9,3.5,2.8,1,1.4,0.7,1.2,1,1.1,,
3,11/3/2025,24,28,BUW,G,1005,2.0,0.9,1.2,3.6,3.9,4.2,0.9,1.1,0.7,0.7,1.2,1.4,,
3,11/3/2025,24,31,SCW,H,1005,2.6,0.8,1.4,4.8,3.1,3.8,0.8,0.9,1.1,1.1,1.3,1.2,,
3,11/3/2025,30,25,BCD,A,1005,-,-,-,3.9,3.4,3,1.2,1.7,1.3,-,-,-,,
3,11/3/2025,30,27,BCW,B,1005,-,-,-,2.9,4.4,3.2,0.9,1.5,0.5,-,-,-,,
3,11/3/2025,30,26,BUD,C,1005,-,-,-,3.3,2.6,2.6,1.5,1.6,1.4,-,-,-,,
3,11/3/2025,30,29,SUW,D,1005,-,-,-,3.8,3.9,3.7,1.4,1.3,1.1,-,-,-,,
3,11/3/2025,30,32,SCD,E,1005,-,-,-,3.7,3.2,4.4,0.8,0.9,1,-,-,-,,
3,11/3/2025,30,30,SUD,F,1005,-,-,-,2.9,3.5,2.8,1.2,1.5,1.3,-,-,-,,
3,11/3/2025,30,28,BUW,G,1005,-,-,-,3.6,3.9,4.2,1.1,1,0.7,-,-,-,,
3,11/3/2025,30,31,SCW,H,1005,-,-,-,4.8,3.1,3.8,1.1,1.5,1.6,-,-,-,,
3,11/3/2025,36,25,BCD,A,1004,2.9,1.5,1.4,3.9,3.4,3,0.7,0.7,0.8,-,-,-,,
3,11/3/2025,36,27,BCW,B,1004,3.7,2.2,1.9,2.9,4.4,3.2,1.5,1.4,1.3,-,-,-,,
3,11/3/2025,36,26,BUD,C,1004,3.2,1.5,2.0,3.3,2.6,2.6,1.4,1.2,1.1,-,-,-,,
3,11/3/2025,36,29,SUW,D,1004,3.7,2.5,2.3,3.8,3.9,3.7,1.4,1.2,1.1,-,-,-,,
3,11/3/2025,36,32,SCD,E,1004,5.2,2.9,2.6,3.7,3.2,4.4,0.9,1.1,1.4,-,-,-,,
3,11/3/2025,36,30,SUD,F,1004,3.0,2.4,2.8,2.9,3.5,2.8,1,1.1,1.1,-,-,-,,
3,11/3/2025,36,28,BUW,G,1004,2.3,1.0,1.3,3.6,3.9,4.2,0.5,0.6,0.9,-,-,-,,
3,11/3/2025,36,31,SCW,H,1004,3.1,1.5,1.6,4.8,3.1,3.8,1,1.1,1.2,-,-,-,,
3,11/4/2025,48,25,BCD,A,1001,3.5,2.0,4.0,3.9,3.4,3,1.2,1.6,1.40,0.7,1.3,1.2,,
3,11/4/2025,48,27,BCW,B,1002,4.2,2.2,2.0,2.9,4.4,3.2,1.8,1.5,1.1,1.4,1.6,1.1,,
3,11/4/2025,48,26,BUD,C,1001,3.9,3.6,3.9,3.3,2.6,2.6,2,1.4,1.8,1.8,1.4,1.7,,
3,11/4/2025,48,29,SUW,D,1001,3.7,2.5,2.2,3.8,3.9,3.7,1.6,1.5,1.1,1.1,1.4,1.6,,
3,11/4/2025,48,32,SCD,E,1001,5.0,2.5,2.4,3.7,3.2,4.4,1.5,1.1,1,1.1,0.9,0.4,,
3,11/4/2025,48,30,SUD,F,1001,2.9,2.3,3.3,2.9,3.5,2.8,1.1,1.2,1.6,1.1,0.7,1.3,,
3,11/4/2025,48,28,BUW,G,1001,2.5,1.9,2.0,3.6,3.9,4.2,1.1,1.6,1.2,0.9,1.1,1.8,,
3,11/4/2025,48,31,SCW,H,1001,3.1,2.1,2.0,4.8,3.1,3.8,1,1.2,1.2,1,1.1,0.2,,
3,11/4/2025,54,25,BCD,A,1000,-,-,-,3.9,3.4,3,1.4,1.5,1.5,-,-,-,,
3,11/4/2025,54,27,BCW,B,1001,-,-,-,2.9,4.4,3.2,1.7,1.1,1.5,-,-,-,,
3,11/4/2025,54,26,BUD,C,1001,-,-,-,3.3,2.6,2.6,1.3,1.7,1.1,-,-,-,,
3,11/4/2025,54,29,SUW,D,1001,-,-,-,3.8,3.9,3.7,1,1.1,0.8,-,-,-,,
3,11/4/2025,54,32,SCD,E,1001,-,-,-,3.7,3.2,4.4,1.2,1.2,0.6,-,-,-,,
3,11/4/2025,54,30,SUD,F,1001,-,-,-,2.9,3.5,2.8,1.1,0.9,1,-,-,-,,
3,11/4/2025,54,28,BUW,G,1001,-,-,-,3.6,3.9,4.2,0.6,0.7,0.3,-,-,-,,
3,11/4/2025,54,31,SCW,H,1001,-,-,-,4.8,3.1,3.8,0.9,0.8,0.7,-,-,-,,
3,11/4/2025,60,25,BCD,A,1000,4.1,1.8,1.7,3.9,3.4,3,1.4,1.7,1.2,-,-,-,,
3,11/4/2025,60,27,BCW,B,1000,4.3,2.5,1.8,2.9,4.4,3.2,1.6,1.4,1.3,-,-,-,,
3,11/4/2025,60,26,BUD,C,1000,5.1,2.5,2.5,3.3,2.6,2.6,1.8,1.5,1.2,-,-,-,,
3,11/4/2025,60,29,SUW,D,1000,3.9,2.2,2.8,3.8,3.9,3.7,1.1,0.8,0.7,-,-,-,,
3,11/4/2025,60,32,SCD,E,1000,5.3,2.9,2.3,3.7,3.2,4.4,1.1,1.5,1,-,-,-,,
3,11/4/2025,60,30,SUD,F,1000,3.3,2.2,3.1,2.9,3.5,2.8,1.1,1.4,1.1,-,-,-,,
3,11/4/2025,60,28,BUW,G,1000,2.3,1.8,1.5,3.6,3.9,4.2,1.2,0.8,0.2,-,-,-,,
3,11/4/2025,60,31,SCW,H,1000,3.5,1.6,1.9,4.8,3.1,3.8,0.7,1.2,1,-,-,-,,
3,11/5/2025,72,25,BCD,A,999,7.8,2.8,2,3.9,3.4,3,1.4,1.3,1.2,-,-,-,,
3,11/5/2025,72,27,BCW,B,999,4.8,2.3,2.7,2.9,4.4,3.2,1.4,1.8,1.2,-,-,-,,
3,11/5/2025,72,26,BUD,C,999,6,2.2,3.9,3.3,2.6,2.6,1.6,1.3,1.2,-,-,-,,
3,11/5/2025,72,29,SUW,D,999,4.3,2.4,1.9,3.8,3.9,3.7,1.1,1,0.6,-,-,-,,
3,11/5/2025,72,32,SCD,E,999,5.9,3.1,2.3,3.7,3.2,4.4,0.8,1.1,1.2,-,-,-,,
3,11/5/2025,72,30,SUD,F,999,4.4,3.2,3.4,2.9,3.5,2.8,1.2,1,1.6,-,-,-,,
3,11/5/2025,72,28,BUW,G,999,3,2,2.4,3.6,3.9,4.2,1.6,1.3,0.9,-,-,-,,
3,11/5/2025,72,31,SCW,H,999,2.7,1.9,1.7,4.8,3.1,3.8,1.2,1,1,-,-,-,,
3,11/5/2025,78,25,BCD,A,998,-,-,-,3.9,3.4,3,1.4,1.5,1.2,-,-,-,,
3,11/5/2025,78,27,BCW,B,998,-,-,-,2.9,4.4,3.2,1.4,1.6,1.2,-,-,-,,
3,11/5/2025,78,26,BUD,C,998,-,-,-,3.3,2.6,2.6,1.3,1.1,2,-,-,-,,
3,11/5/2025,78,29,SUW,D,998,-,-,-,3.8,3.9,3.7,1.2,1.1,1,-,-,-,,
3,11/5/2025,78,32,SCD,E,998,-,-,-,3.7,3.2,4.4,0.9,1.1,1.1,-,-,-,,
3,11/5/2025,78,30,SUD,F,999,-,-,-,2.9,3.5,2.8,1.4,1.5,1,-,-,-,,
3,11/5/2025,78,28,BUW,G,999,-,-,-,3.6,3.9,4.2,0.5,1.1,1,-,-,-,,
3,11/5/2025,78,31,SCW,H,999,-,-,-,4.8,3.1,3.8,0.8,1.6,1.1,-,-,-,,
3,11/5/2025,84,25,BCD,A,999,8.3,1.6,2.3,3.9,3.4,3,0.9,1.4,0.9,-,-,-,,
3,11/5/2025,84,27,BCW,B,999,6.8,2.2,2.1,2.9,4.4,3.2,1.4,0.7,1,-,-,-,,
3,11/5/2025,84,26,BUD,C,999,7.0,2.0,3.4,3.3,2.6,2.6,0.6,1.5,0.7,-,-,-,,
3,11/5/2025,84,29,SUW,D,999,6.0,1.9,1.9,3.8,3.9,3.7,0.5,1.2,0.3,-,-,-,,
3,11/5/2025,84,32,SCD,E,999,16.1,1.9,2.2,3.7,3.2,4.4,0.6,0.9,0.3,-,-,-,,
3,11/5/2025,84,30,SUD,F,999,6.5,2.0,1.9,2.9,3.5,2.8,0.8,0.8,0.9,-,-,-,,
3,11/5/2025,84,28,BUW,G,999,6.5,1.9,1.5,3.6,3.9,4.2,0.9,1.2,0.2,-,-,-,,
3,11/5/2025,84,31,SCW,H,999,6.9,1.5,1.8,4.8,3.1,3.8,0.7,0.6,0.7,-,-,-,,
3,11/6/2025,96,25,BCD,A,1002,9.6,1.9,3.3,3.9,3.4,3,0.9,1.4,1,0.9,1.6,1.1,,
3,11/6/2025,96,27,BCW,B,1002,7.9,2.5,4.4,2.9,4.4,3.2,1.2,1,0.7,1,1.1,0.8,,
3,11/6/2025,96,26,BUD,C,1002,9.0,2.5,4.8,3.3,2.6,2.6,0.5,1,0.5,0.6,1.2,0.9,,
3,11/6/2025,96,29,SUW,D,1002,7.1,2.6,2.5,3.8,3.9,3.7,0.4,0.8,0.9,0.4,1,1.7,,
3,11/6/2025,96,32,SCD,E,1002,16.1,3.7,5.0,3.7,3.2,4.4,0.2,0.8,0.5,1,1.4,0.5,,
3,11/6/2025,96,30,SUD,F,1002,8.0,2.7,4.4,2.9,3.5,2.8,0.2,0.8,1,1.9,1.6,1.8,,
3,11/6/2025,96,28,BUW,G,1002,11.0,2.4,3.3,3.6,3.9,4.2,0.6,1.1,0.1,0.6,1.1,0.1,,
3,11/6/2025,96,31,SCW,H,1002,7.0,2.1,2.0,4.8,3.1,3.8,1,0.6,0.3,1.1,1,0.7,,
3,11/6/2025,102,25,BCD,A,1003,-,-,-,3.9,3.4,3,1.1,0.8,0.7,-,-,-,,
3,11/6/2025,102,27,BCW,B,1004,-,-,-,2.9,4.4,3.2,1.1,1.2,1.1,-,-,-,,
3,11/6/2025,102,26,BUD,C,1003,-,-,-,3.3,2.6,2.6,1.4,1.1,1,-,-,-,,
3,11/6/2025,102,29,SUW,D,1004,-,-,-,3.8,3.9,3.7,1.1,1,1.3,-,-,-,,
3,11/6/2025,102,32,SCD,E,1004,-,-,-,3.7,3.2,4.4,0.6,0.7,1.1,-,-,-,,
3,11/6/2025,102,30,SUD,F,1004,-,-,-,2.9,3.5,2.8,1,0.4,1.2,-,-,-,,
3,11/6/2025,102,28,BUW,G,1004,-,-,-,3.6,3.9,4.2,0.6,0.2,0.8,-,-,-,,
3,11/6/2025,102,31,SCW,H,1004,-,-,-,4.8,3.1,3.8,0.6,0.4,0.7,-,-,-,,
3,11/6/2025,108,25,BCD,A,1006,10.2,5.7,5.5,3.9,3.4,3,0.7,0.7,1,-,-,-,,
3,11/6/2025,108,27,BCW,B,1005,8.6,4.7,4.9,2.9,4.4,3.2,1.6,1.1,1.5,-,-,-,,
3,11/6/2025,108,26,BUD,C,1006,9.8,5.7,5.2,3.3,2.6,2.6,1.2,0.8,1.1,-,-,-,,
3,11/6/2025,108,29,SUW,D,1005,10.4,4.1,4.2,3.8,3.9,3.7,1.2,0.4,0.3,-,-,-,,
3,11/6/2025,108,32,SCD,E,1006,17.3,4.8,5.7,3.7,3.2,4.4,0.9,1.6,1.3,-,-,-,,
3,11/6/2025,108,30,SUD,F,1005,9.4,5.6,5.3,2.9,3.5,2.8,0.5,0.8,1.2,-,-,-,,
3,11/6/2025,108,28,BUW,G,1005,11.6,3.5,4.3,3.6,3.9,4.2,0.2,0.7,1,-,-,-,,
3,11/6/2025,108,31,SCW,H,1005,7.6,3.9,3.3,4.8,3.1,3.8,0.5,1.1,0.4,-,-,-,,
3,11/7/2025,120,25,BCD,A,1006,10.6,4.1,6.2,3.9,3.4,3,1.2,1.3,1,-,-,-,,
3,11/7/2025,120,27,BCW,B,1006,9.3,2.3,2.5,2.9,4.4,3.2,1.1,1.6,1.2,-,-,-,,
3,11/7/2025,120,26,BUD,C,1006,10.1,4.3,5.9,3.3,2.6,2.6,1.3,1.1,1.7,-,-,-,,
3,11/7/2025,120,29,SUW,D,1006,8.8,4.4,3.1,3.8,3.9,3.7,0.7,0.9,0.8,-,-,-,,
3,11/7/2025,120,32,SCD,E,1006,16.7,3.1,3.9,3.7,3.2,4.4,0.9,1.1,1,-,-,-,,
3,11/7/2025,120,30,SUD,F,1006,8.5,3.7,4.7,2.9,3.5,2.8,0.9,1.4,1,-,-,-,,
3,11/7/2025,120,28,BUW,G,1006,11.4,1.9,4.7,3.6,3.9,4.2,1,0.7,1.1,-,-,-,,
3,11/7/2025,120,31,SCW,H,1006,7.6,3.2,3.2,4.8,3.1,3.8,1,1.5,0.9,-,-,-,,
3,11/7/2025,126,25,BCD,A,1006,-,-,-,3.9,3.4,3,0.9,1.5,0.5,-,-,-,,
3,11/7/2025,126,27,BCW,B,1005,-,-,-,2.9,4.4,3.2,1.4,1.1,1.2,-,-,-,,
3,11/7/2025,126,26,BUD,C,1005,-,-,-,3.3,2.6,2.6,1.1,1.3,1.3,-,-,-,,
3,11/7/2025,126,29,SUW,D,1005,-,-,-,3.8,3.9,3.7,0.9,1.3,0.5,-,-,-,,
3,11/7/2025,126,32,SCD,E,1005,-,-,-,3.7,3.2,4.4,0.9,0.3,0.7,-,-,-,,
3,11/7/2025,126,30,SUD,F,1005,-,-,-,2.9,3.5,2.8,1,0.6,1.1,-,-,-,,
3,11/7/2025,126,28,BUW,G,1005,-,-,-,3.6,3.9,4.2,0.4,0.4,0.8,-,-,-,,
3,11/7/2025,126,31,SCW,H,1005,-,-,-,4.8,3.1,3.8,1.3,1.2,0.3,-,-,-,,
3,11/7/2025,132,25,BCD,A,1004,10.9,7.3,7.2,3.9,3.4,3,1.3,0.6,0.8,-,-,-,,
3,11/7/2025,132,27,BCW,B,1004,9.9,6.5,6.3,2.9,4.4,3.2,1.4,1,1.1,-,-,-,,
3,11/7/2025,132,26,BUD,C,1004,11,7.5,7.3,3.3,2.6,2.6,0.4,1.8,1.1,-,-,-,,
3,11/7/2025,132,29,SUW,D,1004,11.2,6.1,5.7,3.8,3.9,3.7,0.9,1,1.2,-,-,-,,
3,11/7/2025,132,32,SCD,E,1004,17.9,6.3,5.7,3.7,3.2,4.4,0.4,0.5,0.9,-,-,-,,
3,11/7/2025,132,30,SUD,F,1003,9.4,6.9,7.6,2.9,3.5,2.8,1.2,0.5,0.8,-,-,-,,
3,11/7/2025,132,28,BUW,G,1003,11.4,8.2,7.8,3.6,3.9,4.2,0.4,0.5,1,-,-,-,,
3,11/7/2025,132,31,SCW,H,1003,10,5.7,5.9,4.8,3.1,3.8,1.1,0.6,0.7,-,-,-,,
