run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
1,BUW,middle,fine,1,B9,21,5.031,,466,EliseLabRoots_21.raw,4.627387,-7.294436126,6.381052,-25.46517678,5.031,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.056699668,1.767569913,1.127005931,35.13357012,31.17425485,-3.388143033,-27.07479872,0.366,-3.388143033,0.365017261,-0.000982739,11.27005931,-0.110755224,-9.827386098,1.08,-27.07479872,1.081452784,0.001452784,351.3357012,5.104150304,14.52784413
1,BUW,middle,coarse,1,B10,22,4.867,,467,EliseLabRoots_22.raw,5.0419135,-4.615052242,6.6273195,-25.34190804,4.867,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.061778888,1.835786724,1.269342266,37.71906153,29.7154381,-0.708759149,-26.95152998,0.366,-0.708759149,0.365995016,-4.98398E-06,12.69342266,-0.000632638,-0.04983979,1.08,-26.95152998,1.081588322,0.001588322,377.1906153,5.990999689,15.88321514
1,BUW,bottom,fine,1,B11,23,4.306,,468,EliseLabRoots_23.raw,4.122939,-7.097691402,5.6182565,-26.65459324,4.306,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.050518635,1.556273347,1.173214929,36.14197275,30.8059264,-3.191398309,-28.26421518,0.366,-3.191398309,0.365089058,-0.000910942,11.73214929,-0.106873113,-9.109423229,1.08,-28.26421518,1.080144972,0.000144972,361.4197275,0.523956643,1.449717884
1,BUW,bottom,coarse,1,B12,24,5.031,,469,EliseLabRoots_24.raw,3.76417775,-5.221668196,6.597711,-24.841573,5.031,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.04612271,1.827585084,0.916770231,36.32647752,39.62440782,-1.315375103,-26.45119494,0.366,-1.315375103,0.365773653,-0.000226347,9.167702313,-0.020750838,-2.263472034,1.08,-26.45119494,1.082138449,0.002138449,363.2647752,7.768231087,21.38448762
,,,,,,,,PEACH,470,peach 1733u.raw,3.89185725,-3.80605474,2.9147115,-24.35329415,1.733,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.047687175,0.80738354,2.751712372,46.58877898,16.93083168,0.100238353,-25.96291609,0.366,0.100238353,0.36629023,0.00029023,27.51712372,0.079862883,2.902297647,1.08,-25.96291609,1.082675314,0.002675314,465.8877898,12.46396174,26.75314103
,,,,,,,,PEACH,471,peach 2238u eft ash red.raw,5.6079745,-1.578236294,3.7588925,-25.08516576,2.238,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.071934228,1.190712531,3.214219301,53.20431328,16.55279503,-1.536089499,-25.23380433,0.366,-1.536089499,0.365693111,-0.000306889,32.14219301,-0.098640992,-3.068894277,1.08,-25.23380433,1.083476966,0.003476966,532.0431328,18.4989575,34.76965748
1,SCD,top,fine,1,C1,25,4.093,,472,EliseLabRoots_25.raw,3.86310475,-2.211442928,6.105583,-29.65776801,4.093,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.049552554,1.934078772,1.210665862,47.25332938,39.03085969,-2.169296132,-29.80640658,0.366,-2.169296132,0.365462043,-0.000537957,12.10665862,-0.065128667,-5.379574109,1.08,-29.80640658,1.078449217,-0.001550783,472.5332938,-7.327965885,-15.50782978
1,SCD,top,coarse,1,C2,26,4.289,,473,EliseLabRoots_26.raw,3.00713725,-5.407928467,6.54246,-30.23992915,4.289,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.038572946,2.072469247,0.899345903,48.32056998,53.72857073,-5.365781672,-30.38856772,0.366,-5.365781672,0.364295574,-0.001704426,8.993459034,-0.153286879,-17.04426282,1.08,-30.38856772,1.077809072,-0.002190928,483.2056998,-10.58668798,-21.90927795
1,SCD,middle,fine,1,C3,27,4.186,,474,EliseLabRoots_27.raw,4.841493,1.123172641,5.4699925,-28.85158568,4.186,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.062102469,1.73274139,1.48357546,41.39372647,27.90132865,1.165319436,-29.00022424,0.366,1.165319436,0.366678889,0.000678889,14.8357546,0.100718318,6.788890809,1.08,-29.00022424,1.079335682,-0.000664318,413.9372647,-2.749859617,-6.643179658
1,SCD,middle,coarse,1,C4,28,4.463,,475,EliseLabRoots_28.raw,3.2171215,-0.346716538,6.3149965,-28.26100259,4.463,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.041266441,2.00041514,0.924634583,44.82220794,48.47559107,-0.304569742,-28.40964116,0.366,-0.304569742,0.36614251,0.00014251,9.246345832,0.013176988,1.425102276,1.08,-28.40964116,1.079985068,-1.49325E-05,448.2220794,-0.066930642,-0.149324733
1,SCD,bottom,fine,1,C5,29,4.142,,476,EliseLabRoots_29.raw,4.695769,-0.686810379,5.5701965,-28.77604902,4.142,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.060233248,1.764483229,1.454206852,42.59978823,29.29417379,-0.644663584,-28.92468759,0.366,-0.644663584,0.366018405,1.84054E-05,14.54206852,0.002676525,0.184053926,1.08,-28.92468759,1.07941874,-0.00058126,425.9978823,-2.476154876,-5.812599026
1,SCD,bottom,coarse,1,C6,30,4.045,,477,EliseLabRoots_30.raw,3.093171,0.487010289,5.5269875,-26.43879801,4.045,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.039676512,1.75079582,0.980877925,43.28296217,44.12675736,0.529157085,-26.58743658,0.366,0.529157085,0.366446747,0.000446747,9.808779245,0.043820436,4.467470966,1.08,-26.58743658,1.081988649,0.001988649,432.8296217,8.607463114,19.8864927
1,SCW,top,fine,1,C7,31,4.767,,478,EliseLabRoots_31.raw,5.283985,-2.127908865,6.7997015,-29.16915234,4.767,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.067778372,2.153956195,1.421824459,45.18473242,31.77940297,-2.085762069,-29.31779091,0.366,-2.085762069,0.365492526,-0.000507474,14.21824459,-0.072153942,-5.074743343,1.08,-29.31779091,1.078986493,-0.001013507,451.8473242,-4.579505254,-10.1350722
1,SCW,top,coarse,1,C8,32,4.903,,479,EliseLabRoots_32.raw,5.101717,-3.272072263,7.0680695,-29.43550681,4.903,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.065440396,2.238967708,1.334701128,45.66526021,34.21384703,-3.229925467,-29.58414538,0.366,-3.229925467,0.365074998,-0.000925002,13.34701128,-0.123460079,-9.250016849,1.08,-29.58414538,1.078693613,-0.001306387,456.6526021,-5.965648308,-13.06386579
1,SCW,middle,fine,1,C9,33,4.352,,480,EliseLabRoots_33.raw,5.3376305,-0.615826044,6.0846975,-28.76327538,4.352,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.06846649,1.927462826,1.573218976,44.28912745,28.15191535,-0.573679249,-28.91191395,0.366,-0.573679249,0.366044309,4.43086E-05,15.73218976,0.006970707,0.443085606,1.08,-28.91191395,1.079432786,-0.000567214,442.8912745,-2.512142944,-5.672143681
1,SCW,middle,coarse,1,C10,34,4.88,,481,EliseLabRoots_34.raw,5.2694305,-1.608350932,6.9885535,-29.03486,4.88,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.067591679,2.213779252,1.385075399,45.36432894,32.7522451,-1.566204136,-29.18349857,0.366,-1.566204136,0.365682121,-0.000317879,13.85075399,-0.044028604,-3.178787523,1.08,-29.18349857,1.079134158,-0.000865842,453.6432894,-3.927834332,-8.658420446
1,SCW,bottom,fine,1,C11,35,4.493,,482,EliseLabRoots_35.raw,4.8848645,2.59378591,5.858621,-28.54726271,4.493,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.062658801,1.855848083,1.394587151,41.30532124,29.61831479,2.635932705,-28.69590128,0.366,2.635932705,0.367215526,0.001215526,13.94587151,0.169515748,12.15526383,1.08,-28.69590128,1.079670306,-0.000329694,413.0532124,-1.361809624,-3.296935075
1,SCW,bottom,coarse,1,C12,36,4.284,,483,EliseLabRoots_36.raw,3.61340775,3.749538565,5.8988225,-26.83403817,4.284,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.046349657,1.8685828,1.081924776,43.61771241,40.3149215,3.79168536,-26.98267674,0.366,3.79168536,0.367637265,0.001637265,10.81924776,0.177139729,16.37264739,1.08,-26.98267674,1.081554075,0.001554075,436.1771241,6.77851918,15.54074894
,,,,,,,,PEACH,484,peach 2628u.raw,6.5605935,2.014110251,4.3010075,-25.92898676,2.626,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.084153597,1.362439476,3.204630518,51.88269139,16.18991366,2.056257046,-26.07762533,0.366,2.056257046,0.367003999,0.001003999,32.04630518,0.321744673,10.03999279,1.08,-26.07762533,1.082549191,0.002549191,518.8269139,13.22588988,25.49191171
1,SUD,top,fine,1,D1,37,5.167,,485,EliseLabRoots_37.raw,5.6188185,-0.657871406,7.131442,-30.40816596,5.167,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.072073325,2.259042352,1.394877596,43.72057969,31.34366759,-0.615724611,-30.55680453,0.366,-0.615724611,0.366028966,2.89656E-05,13.94877596,0.00404035,0.289656266,1.08,-30.55680453,1.077624077,-0.002375923,437.2057969,-10.38767163,-23.75922667
1,SUD,top,coarse,1,D2,38,4.292,,486,EliseLabRoots_38.raw,3.76918125,-3.645161002,6.3582215,-30.43072804,4.292,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.048347785,2.014107617,1.126462829,46.92701811,41.65873645,-3.603014206,-30.57936661,0.366,-3.603014206,0.36493885,-0.00106115,11.26462829,-0.119534574,-10.61149737,1.08,-30.57936661,1.077599268,-0.002400732,469.2701811,-11.26592035,-24.00732202
1,SUD,middle,fine,1,D3,39,4.325,,487,EliseLabRoots_39.raw,4.908576,-1.298823707,5.813014,-29.42309649,4.325,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.062962951,1.841401055,1.45579078,42.57574693,29.24578691,-1.256676912,-29.57173506,0.366,-1.256676912,0.365795073,-0.000204927,14.5579078,-0.029833129,-2.049273135,1.08,-29.57173506,1.07870726,-0.00129274,425.7574693,-5.503938565,-12.92740342
1,SUD,middle,coarse,1,D4,40,5.002,,488,EliseLabRoots_40.raw,4.474531,-2.583447293,7.0885915,-30.03319956,5.002,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.057395399,2.245468507,1.147448997,44.89141357,39.12279648,-2.541300498,-30.18183813,0.366,-2.541300498,0.365326291,-0.000673709,11.47448997,-0.077304637,-6.737086972,1.08,-30.18183813,1.078036393,-0.001963607,448.9141357,-8.814908655,-19.63606836
1,SUD,bottom,fine,1,D5,41,4.428,,489,EliseLabRoots_41.raw,4.7915785,-1.210964416,5.211042,-29.34538327,4.428,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.061462209,1.650713079,1.388035431,37.27897648,26.85736665,-1.168817621,-29.49402184,0.366,-1.168817621,0.365827134,-0.000172866,13.88035431,-0.023994427,-1.728660985,1.08,-29.49402184,1.078792712,-0.001207288,372.7897648,-4.500645713,-12.07287897
1,SUW,top,fine,1,D6,43,4.542,,490,EliseLabRoots_42.raw,4.06518575,-0.712111963,5.366474,-30.12531645,4.542,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.052144673,1.69994961,1.148055336,37.4273362,32.60063783,-0.669965168,-30.27395501,0.366,-0.669965168,0.366009172,9.17249E-06,11.48055336,0.001053053,0.091724906,1.08,-30.27395501,1.077935101,-0.002064899,374.273362,-7.728366642,-20.64898928
1,SUW,top,coarse,1,D7,44,4.824,,491,EliseLabRoots_43.raw,4.367481,-0.866279014,6.86746,-29.92243139,4.824,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.056022254,2.175420202,1.161323681,45.09577532,38.83135777,-0.824132219,-30.07106996,0.366,-0.824132219,0.365952915,-4.70853E-05,11.61323681,-0.005468123,-0.470852602,1.08,-30.07106996,1.078158194,-0.001841806,450.9577532,-8.305766936,-18.41805995
1,SUW,middle,fine,1,D8,45,4.486,,492,EliseLabRoots_44.raw,4.955108,0.13517652,6.2272365,-29.25341321,4.486,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.063559823,1.972615215,1.416848491,43.97269761,31.03556794,0.177323315,-29.40205177,0.366,0.177323315,0.366318359,0.000318359,14.16848491,0.045106644,3.183589818,1.08,-29.40205177,1.078893841,-0.001106159,439.7269761,-4.864079568,-11.06159011
1,SUW,middle,coarse,1,D9,46,4.758,,493,EliseLabRoots_45.raw,4.5710635,3.683260289,6.471718,-28.0339881,4.758,6.089119857,1.937853205,4.022908786,-25.88136143,2.769714286,2.769714286,0.012827132,0.316772169,0.058633634,2.05006015,1.232316812,43.08659415,34.96389381,3.725407084,-28.18262667,0.366,3.725407084,0.36761308,0.00161308,12.32316812,0.198782517,16.13079651,1.08,-28.18262667,1.080234683,0.000234683,430.8659415,1.011168382,2.346828294
