,,,,,,aboveground not sorted,,,aboveground sorted,,,,litter sorted,,,vascular,,,,,,,graminoids,,,bryo+lichen,,,,unidentified,,,dirt,,,poop,,
pipe nr,run,tt,veg_type,cut_treat,wet_treat,bag_g,fresh_g,aboveground_weight_tot_g,bag_g,fresh_g,aboveground_weight_tot_g,weight_sorted_excl.bag_g,litter_bag,litter_weight,where is the sample,vas_bag_g,vascular_weight_g,equ_weight,stem_weight,leaves_weight,rest_weight,where is the sample,grami_bag,graminoid_weight,where is the sample,bryo_bag,bryophyte_weight,lichen_weight,where is the sample,unid_bag,unidentified_weight,where is the sample,dirt_bag,dirt_weight,where is the sample,poop_bag,fresh_poop,dry_poop
35,4,,B,C,W,,,,5,11.93,10.4,1.35,14.36,14.38,epp. box 2 C9,14.37,14.39,0.01,0.01,0,0,"equ: epp.box 2 C6, stem: epp.box 2 C8",5.01,5.07,papbag,5.02,6.23,0.00,"papbag, lic: epp. box 2 C7",14.37,14.38,epp. box 2 D12,-,-,-,,, 
36,4,,B,C,D,,,,5.04,9.37,8.02,0.75,10.22,10.23,epp. box 2 D6,10.22,10.26,0.05,0.01,0.02,0,"equ: epp. box 2 D2, stem: epp. box 2 D3, leav: epp. box 2 D4",10.22,10.26,epp. box 2 D5,5.01,5.5,0,papbag,10.22,10.36,epp. box 2 D7,-,-,-,,,
37,4,F,S,U,W,4.93,18.95,15.53,4.93,18.95,15.93,2.75,1.1,1.29,epp. box 3 G3,10.14,10.6,0.07,0.25,0.17,0.01,"Equ: epp. box 3 G4, stem: epp. box 3 G5, leav: epp.box 3 G6, rest: epp. box 3 G7",1.1,1.15,epp. box 3 G8,6.4,7.96,0.03,"papbag, lic: epp. box 3 G9",6.39,6.81,papbag,1.09,1.1,epp. box 3 H1,-,-,-
38,4,,S,C,D,,,,4.99,16.19,12.27,1.82,5.06,5.55,papbag,14.38,14.91,0.02,0.23,0.28,0,"equ: epp. box 2 D8, leav: papbag, stems: epp. box 2 E1",4.98,5.03,papbag,5.01,5.59,0.05,"papbag, lic: epp. box 2 D9",14.38,14.5,epp. box 2 E2,-,-,-,,,
39,4,D,S,U,D,4.97,15.23,13.31,4.97,15.23,13.66,2.17,6.4,6.72,papbag,10.05,10.3,0.01,0.11,0.11,0,"equ: epp. box 3 H5, leaves: epp. box 3 H6, stems: epp box 3 H7",1.09,1.14,epp. box 3 H4,5.2,6.44,0.01,"papbag, lic: epp. box 3 H2",6.4,6.61,papbag,1.11,1.13,epp. box 3 H3,-,-,-
40,4,,S,C,W,,,,4.99,16.51,13.2,2.05,4.98,5.45,papbag,14.38,14.75,0.05,0.15,0.16,0.01,"equ: epp. box 2 E3, bus: epp. box 2 E5, stem: epp. box 2 E6, leav: papbag",5.01,5.12,papbag,5.06,5.88,0.00,"papbag, lic: epp. box 2 E4",14.37,14.42,epp. box 2 E7,14.36,14.53,epp. box 2 E8,,,
41,5,D,B,U,D,6.36,18.7,16.81,6.36,18.7,17.39,2.67,5.15,5.27,papbag,0,0.1,0,0.07,0.02,0.01,"equ: epp. box 3 H9, leav: epp. box 4 A1, stem: epp. box 4 A2, rest: epp. box 4 A3",1.11,1.13,epp. box 4 A4,5.14,7.43,0.01,"papbag, lic: epp. box 4 A5",1.1,1.17,epp. box 4 A6,-,-,-,-,-,-
42,5,H,B,U,W,6.41,21.8,18.21,6.41,21.8,18.8,3.1,1.09,1.17,epp. box 3 H4,0,0.06,0.01,0.05,0,0,"equ: epp box 3 H5, stems: epp box 3 H6, leaves: epp. box 3 H7",-,0,-,5.19,7.45,0,papbag,5.14,5.61,papbag,1.1,1.11,epp. box 3 H8,-,-,-
43,5,,B,C,W,,,,5.16,9.48,8.68,8.68,10.13,10.18,epp. box 1 C4,10.22,10.3,0.05,0.02,0.02,0.01,"equ: epp.box 1 C5, bus: epp. box 1 C6, stem: epp.box 1 C7, leav: epp. box 1 C9",5.37,5.54,papbag,5.35,8.4,0,papbag,10.11,10.34,epp. box 1 C8,-,-,-,,,
44,5,,B,C,D,,,,5.09,12.72,11.23,11.23,42.04,42.08,epp. box 1 C1,42.04,42.07,0,0.02,0.02,0,"leav: epp. box 1 C2, Stem: epp. box 1 C3",5.32,5.43,papbag,5.38,10.23,0,papbag,5.39,5.9,papbag,42.04,42.58,epp. box 1 A9,,,
