run,tt,treatment,aboveground,sample_weight,comment,n15_raw,c13_raw,mg_n_in_sample,mg_c_in_sample,n_pct,c_pct,cn_ratio,d15nkorr,d13ckorr,natabun_15n_atm_pct,atom_pct_15n,ape_pct_15n,n_mg_pr_gdw,n15_ug_pr_gdw,n15_ug_pr_gn,natabun_13c_atm_pct,atom_pct_13c,ape_pct_13c,c_mg_pr_gdw,c13_ug_pr_gdw,c13_ug_pr_gc,pipe_nr,pipe_diameter,veg,wet,cut,beriget
1,G,SUD,salix_leaf,3.73,,-5.112394048,-31.68972209,0.06064929,1.618665527,1.625986315,43.39585864,26.68894457,-5.04903988,-31.78951801,0.366,0.364411161,-0.001588839,16.25986315,-0.258343034,-15.88838918,1.077,1.076268552,-7.31448e-4,433.9585864,-3.174180223,-7.314477286,15,17,S,D,U,FALSE
2,A,BUD,equisetum,3.358,,126.7360593,-23.5268295,0.059264365,1.126466145,1.764870908,33.54574584,19.0074785,126.7994135,-23.62662541,0.366,0.41250283,0.04650283,17.64870908,8.207149248,465.0283037,1.077,1.085243998,0.008243998,335.4574584,27.65510697,82.4399824,20,17,B,D,U,TRUE
2,B,BCD,equisetum,2.65,det var alt der var,3.076338643,-28.1550069,0.0629702,0.924545247,2.376233973,34.88849987,14.68226625,3.139692811,-28.25480282,0.366,0.367399351,0.001399351,23.76233973,0.332518472,13.9935072,1.077,1.080155321,0.003155321,348.8849987,11.00844232,31.55321199,19,17,B,D,C,FALSE
2,C,BCW,equisetum,3.505,,1.820557062,-26.09940846,0.100212161,1.346716725,2.859120146,38.4227311,13.43865565,1.88391123,-26.19920438,0.366,0.366941109,9.41109e-4,28.59120146,0.269074396,9.411090893,1.077,1.082415515,0.005415515,384.227311,20.80788584,54.15514526,17,17,B,W,C,FALSE
2,D,SCD,equisetum,3.172,,1.651749013,-26.98800708,0.061901494,1.043450351,1.951497289,32.89566049,16.85662628,1.715103181,-27.08780299,0.366,0.36687951,8.7951e-4,19.51497289,0.171636095,8.79509779,1.077,1.081438486,0.004438486,328.9566049,14.60069239,44.38485858,22,17,S,D,C,FALSE
2,E,SCW,equisetum,3.299,,1.280470418,-27.40450377,0.074589704,1.178728405,2.260979216,35.72986981,15.80282983,1.343824586,-27.50429969,0.366,0.366744027,7.44027e-4,22.60979216,0.168223002,7.440271952,1.077,1.080980534,0.003980534,357.2986981,14.22239726,39.80534308,21,17,S,W,C,FALSE
2,F,SUD,equisetum,3.209,,42.34680602,-24.48701697,0.070332832,1.144101637,2.191736735,35.65290238,16.26696391,42.41016018,-24.58681288,0.366,0.381727234,0.015727234,21.91736735,3.446995736,157.2723439,1.077,1.084188316,0.007188316,356.5290238,25.62843282,71.88315989,24,17,S,D,U,TRUE
2,G,BUW,equisetum,3.254,,2.432813198,-26.78297084,0.06709273,1.140610787,2.061854019,35.05257488,17.00051243,2.496167365,-26.88276676,0.366,0.367164525,0.001164525,20.61854019,0.240108109,11.64525259,1.077,1.081663928,0.004663928,350.5257488,16.34826944,46.63928255,18,17,B,W,U,TRUE
2,H,SUW,equisetum,3.715,,181.8169371,-21.37072406,0.081025057,1.303387747,2.181024422,35.08446157,16.08623049,181.8802913,-21.47051997,0.366,0.432579812,0.066579812,21.81024422,14.52121967,665.798123,1.077,1.087614456,0.010614456,350.8446157,37.24024574,106.1445554,23,17,S,W,U,TRUE
2,A,BUD,bryophyte,3.252,,136.3797994,-26.5013351,0.040926077,1.184231249,1.258489442,36.41547505,28.93586058,136.4431536,-26.60113101,0.366,0.416018559,0.050018559,12.58489442,6.294782803,500.1855869,1.077,1.081973592,0.004973592,364.1547505,18.11157165,49.73592032,20,17,B,D,U,TRUE
2,B,BCD,bryophyte,4.051,,0.052968767,-29.20332074,0.046576703,1.388087302,1.149758162,34.26529997,29.80218023,0.116322935,-29.30311666,0.366,0.366296099,2.96099e-4,11.49758162,0.03404425,2.960992207,1.077,1.079002628,0.002002628,342.6529997,6.862065991,20.02628314,19,17,B,D,C,FALSE
2,C,BCW,bryophyte,3.317,,-0.656386834,-28.40579721,0.044573321,1.189743419,1.343784161,35.86805603,26.69182825,-0.593032667,-28.50559313,0.366,0.366037246,3.72e-5,13.43784161,0.00500509,0.372462313,1.077,1.079879563,0.002879563,358.6805603,10.32843097,28.79562517,17,17,B,W,C,FALSE
2,D,SCD,bryophyte,3.411,,-1.34229236,-28.98218809,0.032149526,1.166523651,0.942524935,34.19887573,36.28431933,-1.278938192,-29.08198401,0.366,0.365786949,-2.13051e-4,9.425249355,-0.020080569,-2.130508025,1.077,1.079245781,0.002245781,341.9887573,7.680318706,22.4578105,22,17,S,D,C,FALSE
2,E,SCW,bryophyte,3.24,,-1.050439447,-28.39958319,0.038973229,1.164356242,1.202877424,35.93692104,29.87579642,-0.98708528,-28.4993791,0.366,0.365893451,-1.06549e-4,12.02877424,-0.012816565,-1.065492202,1.077,1.079886395,0.002886395,359.3692104,10.37281572,28.86395222,21,17,S,W,C,FALSE
2,F,SUD,bryophyte,3.157,,375.1513484,-24.35989378,0.027704798,1.1249591,0.877567256,35.63380106,40.60520809,375.2147026,-24.4596897,0.366,0.502986184,0.136986184,8.775672565,12.02145897,1369.86184,1.077,1.084328083,0.007328083,356.3380106,26.11274667,73.2808342,24,17,S,D,U,TRUE
2,G,BUW,bryophyte,3.767,,34.61561665,-27.5470992,0.059113526,1.289295863,1.569246782,34.22606485,21.81050504,34.67897082,-27.64689511,0.366,0.378906825,0.012906825,15.69246782,2.025399388,129.0682518,1.077,1.080823745,0.003823745,342.2606485,13.08717466,38.23745066,18,17,B,W,U,TRUE
2,H,SUW,bryophyte,3.452,,130.7227839,-27.3815993,0.036796008,1.242144321,1.065933032,35.98332333,33.75758348,130.7861381,-27.48139521,0.366,0.413956263,0.047956263,10.65933032,5.111816532,479.5626345,1.077,1.081005719,0.004005719,359.8332333,14.41390686,40.05718629,23,17,S,W,U,TRUE
2,D,SCD,lichen,3.425,,-0.775093932,-30.36356646,0.067470816,1.219539538,1.969950822,35.60699381,18.07506737,-0.711739764,-30.46336238,0.366,0.365993928,-6.07e-6,19.69950822,-0.001196085,-0.060716478,1.077,1.077726827,7.26827e-4,356.0699381,2.588013652,7.268273378,22,17,S,D,C,FALSE
2,E,SCW,lichen,3.027,,-0.9533143,-25.51524712,0.090279132,1.110551649,2.982462233,36.68819456,12.30131069,-0.889960133,-25.61504304,0.366,0.365928893,-7.11e-5,29.82462233,-0.021207341,-0.711068222,1.077,1.083057799,0.006057799,366.8819456,22.22497058,60.57798933,21,17,S,W,C,FALSE
2,F,SUD,lichen,3.131,,-0.594586398,-29.07473325,0.077757968,1.267674108,2.483486684,40.48783482,16.30281937,-0.53123223,-29.17452916,0.366,0.366059798,5.98e-5,24.83486684,0.014850768,0.597980596,1.077,1.079144021,0.002144021,404.8783482,8.680674876,21.44020522,24,17,S,D,U,TRUE
2,A,BUD,graminoid,3.202,,119.3321749,-27.62842223,0.03403174,1.281566102,1.062827612,40.02392573,37.65796567,119.395529,-27.72821814,0.366,0.409803497,0.043803497,10.62827612,4.655556602,438.034969,1.077,1.080734327,0.003734327,400.2392573,14.94624262,37.34326992,20,17,B,D,U,TRUE
2,B,BCD,graminoid,3.249,,-0.220067279,-28.37066404,0.042083574,1.148861154,1.295277749,35.36045412,27.29951482,-0.156713112,-28.47045996,0.366,0.366196465,1.96465e-4,12.95277749,0.025447676,1.964650123,1.077,1.079918194,0.002918194,353.60454120000003,10.31886508,29.18193597,19,17,B,D,C,FALSE
2,C,BCW,graminoid,3.314,,-0.991922103,-28.87910724,0.026413312,1.270998337,0.797022099,38.35239399,48.11961176,-0.928567935,-28.97890316,0.366,0.365914805,-8.52e-5,7.970220994,-0.00679026,-0.851953754,1.077,1.079359126,0.002359126,383.5239399,9.047813512,23.59126138,17,17,B,W,C,FALSE
2,D,SCD,graminoid,3.319,,-0.427795951,-28.19004152,0.049981509,1.29025119,1.505920722,38.87469691,25.81457068,-0.364441784,-28.28983743,0.366,0.366120662,1.20662e-4,15.05920722,0.018170761,1.206621338,1.077,1.080116799,0.003116799,388.7469691,12.11646039,31.16798678,22,17,S,D,C,FALSE
2,E,SCW,graminoid,3.662,,-0.165042911,-30.27967263,0.046733724,1.371567774,1.2761803329999999,37.45406265,29.34856594,-0.101688743,-30.37946854,0.366,0.366216544,2.16544e-4,12.76180333,0.027634932,2.165440965,1.077,1.077819078,8.19078e-4,374.5406265,3.067778846,8.19077726,21,17,S,W,C,FALSE
2,F,SUD,graminoid,3.35,,37.17729191,-27.87241918,0.035534481,1.296202257,1.060730785,38.69260469,36.47730907,37.24064607,-27.9722151,0.366,0.379841366,0.013841366,10.60730785,1.468196264,138.4136564,1.077,1.080466041,0.003466041,386.9260469,13.41101605,34.66041162,24,17,S,D,U,TRUE
2,G,BUW,graminoid,3.22,,6.292596918,-29.89676426,0.055841529,1.250958448,1.734208985,38.84964124,22.40193747,6.355951086,-29.99656017,0.366,0.368572962,0.002572962,17.34208985,0.446205364,25.72961897,1.077,1.078240125,0.001240125,388.4964124,4.817840756,12.40124903,18,17,B,W,U,TRUE
2,H,SUW,graminoid,3.329,,70.50215017,-27.80646167,0.039864184,1.287628111,1.197482236,38.67912619,32.30037576,70.56550433,-27.90625758,0.366,0.391997214,0.025997214,11.97482236,3.113120198,259.9721403,1.077,1.080538565,0.003538565,386.7912619,13.68685873,35.38564615,23,17,S,W,U,TRUE
2,C,BCW,salix_stem,3.634,,-1.460630194,-30.93862204,0.083185003,1.633252127,2.289075494,44.94364687,19.63397319,-1.397276026,-31.03841796,0.366,0.365743766,-2.56234e-4,22.89075494,-0.058653931,-2.562341492,1.077,1.077094487,9.45e-5,449.4364687,0.424657283,0.9448661,17,17,B,W,C,FALSE
