run,treatment,layer,diameter,sample_weight,comment,n15_raw,c13_raw,mg_n_in_sample,mg_c_in_sample,n_pct,c_pct,cn_ratio,n15korr,c13korr,nat_abun_15n,atom_15n,ape_n,n_pr_dw,n15_pr_dw,n15_pr_n,nat_abun_13c,atom_13c,ape_c,c_pr_dw,c13_pr_dw,c13_pr_c,tt,pipe_nr,pipe_diameter,veg,wet,cut,beriget
1,SCD,middle,fine,4.186,,1.123172641,-28.85158568,0.062102469,1.73274139,1.48357546,41.39372647,27.90132865,1.165319436,-29.00022424,0.366,0.366678889,6.78889e-4,14.8357546,0.100718318,6.788890809,1.08,1.079335682,-6.64318e-4,413.9372647,-2.749859617,-6.643179658,F,16,17,S,D,C,FALSE
1,SCD,middle,coarse,4.463,,-0.346716538,-28.26100259,0.041266441,2.00041514,0.924634583,44.82220794,48.47559107,-0.304569742,-28.40964116,0.366,0.36614251,1.4251e-4,9.246345832,0.013176988,1.425102276,1.08,1.079985068,-1.49325e-5,448.2220794,-0.066930642,-0.149324733,F,16,17,S,D,C,FALSE
1,SCD,bottom,fine,4.142,,-0.686810379,-28.77604902,0.060233248,1.764483229,1.454206852,42.59978823,29.29417379,-0.644663584,-28.92468759,0.366,0.366018405,1.8405400000000002e-05,14.54206852,0.002676525,0.184053926,1.08,1.07941874,-5.8126e-4,425.9978823,-2.476154876,-5.812599026,F,16,17,S,D,C,FALSE
1,SCD,bottom,coarse,4.045,,0.487010289,-26.43879801,0.039676512,1.75079582,0.980877925,43.28296217,44.12675736,0.529157085,-26.58743658,0.366,0.366446747,4.46747e-4,9.808779245,0.043820436,4.467470966,1.08,1.081988649,0.001988649,432.8296217,8.607463114,19.8864927,F,16,17,S,D,C,FALSE
1,SCW,top,fine,4.767,,-2.127908865,-29.16915234,0.067778372,2.153956195,1.421824459,45.18473242,31.77940297,-2.085762069,-29.31779091,0.366,0.365492526,-5.07474e-4,14.21824459,-0.072153942,-5.074743343,1.08,1.078986493,-0.001013507,451.8473242,-4.579505254,-10.1350722,A,14,17,S,W,C,FALSE
1,SCW,top,coarse,4.903,,-3.272072263,-29.43550681,0.065440396,2.238967708,1.334701128,45.66526021,34.21384703,-3.229925467,-29.58414538,0.366,0.365074998,-9.25002e-4,13.34701128,-0.123460079,-9.250016849,1.08,1.078693613,-0.001306387,456.6526021,-5.965648308,-13.06386579,A,14,17,S,W,C,FALSE
1,SCW,middle,fine,4.352,,-0.615826044,-28.76327538,0.06846649,1.927462826,1.573218976,44.28912745,28.15191535,-0.573679249,-28.91191395,0.366,0.366044309,4.43086e-5,15.73218976,0.006970707,0.443085606,1.08,1.079432786,-5.67214e-4,442.8912745,-2.512142944,-5.672143681,A,14,17,S,W,C,FALSE
1,SCW,middle,coarse,4.88,,-1.608350932,-29.03486,0.067591679,2.213779252,1.385075399,45.36432894,32.7522451,-1.566204136,-29.18349857,0.366,0.365682121,-3.17879e-4,13.85075399,-0.044028604,-3.178787523,1.08,1.079134158,-8.65842e-4,453.6432894,-3.927834332,-8.658420446,A,14,17,S,W,C,FALSE
1,SCW,bottom,fine,4.493,,2.59378591,-28.54726271,0.062658801,1.855848083,1.394587151,41.30532124,29.61831479,2.635932705,-28.69590128,0.366,0.367215526,0.001215526,13.94587151,0.169515748,12.15526383,1.08,1.079670306,-3.29694e-4,413.0532124,-1.361809624,-3.296935075,A,14,17,S,W,C,FALSE
1,SCW,bottom,coarse,4.284,,3.749538565,-26.83403817,0.046349657,1.8685828,1.081924776,43.61771241,40.3149215,3.79168536,-26.98267674,0.366,0.367637265,0.001637265,10.81924776,0.177139729,16.37264739,1.08,1.081554075,0.001554075,436.1771241,6.77851918,15.54074894,A,14,17,S,W,C,FALSE
1,SUD,top,fine,5.167,,-0.657871406,-30.40816596,0.072073325,2.259042352,1.394877596,43.72057969,31.34366759,-0.615724611,-30.55680453,0.366,0.366028966,2.89656e-5,13.94877596,0.00404035,0.289656266,1.08,1.077624077,-0.002375923,437.2057969,-10.38767163,-23.75922667,G,15,17,S,D,U,FALSE
1,SUD,top,coarse,4.292,,-3.645161002,-30.43072804,0.048347785,2.014107617,1.126462829,46.92701811,41.65873645,-3.603014206,-30.57936661,0.366,0.36493885,-0.00106115,11.26462829,-0.119534574,-10.61149737,1.08,1.077599268,-0.002400732,469.2701811,-11.26592035,-24.00732202,G,15,17,S,D,U,FALSE
1,SUD,middle,fine,4.325,,-1.298823707,-29.42309649,0.062962951,1.841401055,1.45579078,42.57574693,29.24578691,-1.256676912,-29.57173506,0.366,0.365795073,-2.04927e-4,14.5579078,-0.029833129,-2.049273135,1.08,1.07870726,-0.00129274,425.7574693,-5.503938565,-12.92740342,G,15,17,S,D,U,FALSE
1,SUD,middle,coarse,5.002,,-2.583447293,-30.03319956,0.057395399,2.245468507,1.147448997,44.89141357,39.12279648,-2.541300498,-30.18183813,0.366,0.365326291,-6.73709e-4,11.47448997,-0.077304637,-6.737086972,1.08,1.078036393,-0.001963607,448.9141357,-8.814908655,-19.63606836,G,15,17,S,D,U,FALSE
1,SUD,bottom,fine,4.428,,-1.210964416,-29.34538327,0.061462209,1.650713079,1.388035431,37.27897648,26.85736665,-1.168817621,-29.49402184,0.366,0.365827134,-1.72866e-4,13.88035431,-0.023994427,-1.728660985,1.08,1.078792712,-0.001207288,372.7897648,-4.500645713,-12.07287897,G,15,17,S,D,U,FALSE
1,SUW,top,fine,4.542,,-0.712111963,-30.12531645,0.052144673,1.69994961,1.148055336,37.4273362,32.60063783,-0.66996516800000006,-30.27395501,0.366,0.366009172,9.17249e-6,11.48055336,0.001053053,0.091724906,1.08,1.077935101,-0.002064899,374.273362,-7.728366642,-20.64898928,E,13,17,S,W,U,FALSE
1,SUW,top,coarse,4.824,,-0.866279014,-29.92243139,0.056022254,2.175420202,1.161323681,45.09577532,38.83135777,-0.824132219,-30.07106996,0.366,0.365952915,-4.70853e-5,11.61323681,-0.005468123,-0.470852602,1.08,1.078158194,-0.001841806,450.9577532,-8.305766936,-18.41805995,E,13,17,S,W,U,FALSE
1,SUW,middle,fine,4.486,,0.13517652,-29.25341321,0.063559823,1.972615215,1.416848491,43.97269761,31.03556794,0.177323315,-29.40205177,0.366,0.366318359,3.18359e-4,14.16848491,0.045106644,3.183589818,1.08,1.078893841,-0.001106159,439.7269761,-4.864079568,-11.06159011,E,13,17,S,W,U,FALSE
1,SUW,middle,coarse,4.758,,3.683260289,-28.0339881,0.058633634,2.05006015,1.232316812,43.08659415,34.96389381,3.725407084,-28.18262667,0.366,0.36761308,0.00161308,12.32316812,0.198782517,16.13079651,1.08,1.080234683,2.34683e-4,430.8659415,1.011168382,2.346828294,E,13,17,S,W,U,FALSE
1,SUW,bottom,fine,4.172,,0.72611367,-28.57027328,0.057307822,1.758261348,1.373629472,42.14432761,30.6810013,0.768260466,-28.71891185,0.366,0.366533998,5.33998e-4,13.73629472,0.073351598,5.33998431,1.08,1.079645005,-3.54995e-4,421.4432761,-1.496103217,-3.549951564,E,13,17,S,W,U,FALSE
1,SUW,bottom,coarse,4.289,,4.409695775,-26.81640976,0.037269902,1.825969815,0.868964831,42.57332281,48.99314826,4.45184257,-26.96504833,0.366,0.367878157,0.001878157,8.689648313,0.16320523,18.78156908,1.08,1.081573458,0.001573458,425.7332281,6.698732508,15.73457758,E,13,17,S,W,U,FALSE
2,BCD,middle,fine,4.285,,96.83767703,-26.73177656,0.063674427,1.619553309,1.485984302,37.79587652,25.43490969,96.87982383,-26.88041513,0.366,0.401593745,0.035593745,14.85984302,5.289174625,355.9374496,1.08,1.081666514,0.001666514,377.9587652,6.298735459,16.66513927,B,19,17,B,D,C,TRUE
2,BCD,middle,coarse,4.411,,14.73853806,-26.62994711,0.060509063,1.895258976,1.37177654,42.966651,31.32190247,14.78068486,-26.77858568,0.366,0.371647012,0.005647012,13.7177654,0.774643905,56.47012343,1.08,1.081778478,0.001778478,429.66651,7.641522319,17.78477526,B,19,17,B,D,C,TRUE
2,BCD,bottom,fine,4.385,,72.52360638,-26.86329635,0.06527728,1.816316184,1.488649488,41.42112163,27.82463028,72.56575318,-27.01193492,0.366,0.392726747,0.026726747,14.88649488,3.978675797,267.2674682,1.08,1.081521905,0.001521905,414.2112163,6.303900387,15.21904801,B,19,17,B,D,C,TRUE
2,BCD,bottom,coarse,4.327,,4.031262321,-27.04655997,0.038394408,1.894218221,0.887321658,43.77670952,49.33578382,4.073409117,-27.19519853,0.366,0.367740066,0.001740066,8.873216584,0.154399845,17.40066223,1.08,1.081320401,0.001320401,437.76709520000003,5.780282863,13.20401402,B,19,17,B,D,C,TRUE
2,BCW,top,fine,4.552,,230.3522829,-25.3563932,0.081274798,1.98435004,1.785474469,43.59292706,24.41531807,230.3944297,-25.50503177,0.366,0.450256514,0.084256514,17.85474469,15.0437854,842.5651369,1.08,1.083178755,0.003178755,435.9292706,13.85712438,31.78755205,C,17,17,B,W,C,TRUE
2,BCW,top,coarse,4.467,,295.8515014,-25.00149624,0.072645704,1.980611336,1.626274996,44.33873598,27.26398432,295.8936482,-25.15013481,0.366,0.474111975,0.108111975,16.26274996,17.58198024,1081.119755,1.08,1.083568959,0.003568959,443.3873598,15.82431215,35.68958789,C,17,17,B,W,C,TRUE
2,BCW,middle,fine,4.376,,79.89559133,-28.00728842,0.066189013,1.875305814,1.512546009,42.85433761,28.3325845,79.93773812,-28.15592699,0.366,0.395415372,0.029415372,15.12546009,4.449210408,294.1537237,1.08,1.080264041,2.64041e-4,428.5433761,1.131528353,2.640405654,C,17,17,B,W,C,TRUE
2,BCW,middle,coarse,4.847,,277.0793858,-25.64887306,0.054674097,1.962437483,1.127998703,40.48767244,35.8933679,277.1215326,-25.79751163,0.366,0.467276155,0.101276155,11.27998703,11.42393711,1012.761546,1.08,1.082857176,0.002857176,404.8767244,11.56804029,28.57175923,C,17,17,B,W,C,TRUE
2,BCW,bottom,fine,4.084,,8.964357954,-27.52021887,0.043337045,1.752013967,1.061142144,42.89946051,40.42762862,9.006504749,-27.66885744,0.366,0.369540127,0.003540127,10.61142144,0.375657789,35.40126937,1.08,1.080799597,7.99597e-4,428.9946051,3.430226211,7.995965847,C,17,17,B,W,C,TRUE
2,BCW,bottom,coarse,4.75,,6.885477145,-26.8112542,0.041832461,2.000167741,0.880683391,42.10879455,47.81377164,6.92762394,-26.95989277,0.366,0.368781562,0.002781562,8.806833912,0.24496756,27.81562167,1.08,1.081579126,0.001579126,421.0879455,6.649511038,15.79126429,C,17,17,B,W,C,TRUE
2,BUD,top,fine,4.389,,686.9220686,-27.27504408,0.051207138,1.925484268,1.166715386,43.87068279,37.60187216,686.9642154,-27.42368265,0.366,0.616306158,0.250306158,11.66715386,29.2036046,2503.061582,1.08,1.081069176,0.001069176,438.7068279,4.69054669,10.69175675,A,20,17,B,D,U,TRUE
2,BUD,top,coarse,4.115,,261.5503155,-24.71904942,0.046812794,1.828692155,1.137613459,44.43966356,39.06393971,261.5924622,-24.86768799,0.366,0.461620571,0.095620571,11.37613459,10.87792487,956.2057115,1.08,1.083879502,0.003879502,444.3966356,17.24037809,38.79502388,A,20,17,B,D,U,TRUE
2,BUD,middle,fine,4.431,du er lidt usikker på om den blev lagt korrekt,479.8399051,-23.10726227,0.065827699,1.876125303,1.485617213,42.34090055,28.50054522,479.8820519,-23.25590084,0.366,0.541061244,0.175061244,14.85617213,26.00739974,1750.61244,1.08,1.085651587,0.005651587,423.4090055,23.92932802,56.51586932,A,20,17,B,D,U,TRUE
2,BUD,middle,coarse,4.562,du er lidt usikker på om den blev lagt korrekt,438.3727148,-22.75836792,0.039872257,1.797127076,0.87400827,39.39340368,45.07211776,438.4148616,-22.90700649,0.366,0.525980124,0.159980124,8.740082702,13.98239512,1599.801238,1.08,1.086035172,0.006035172,393.9340368,23.77459508,60.35171593,A,20,17,B,D,U,TRUE
2,BUD,bottom,fine,4.93,du er lidt usikker på om den blev lagt korrekt,3.362488358,-27.8860633,0.066596384,1.89904076,1.350839428,38.52009656,28.51567385,3.404635153,-28.03470187,0.366,0.367496029,0.001496029,13.50839428,0.20208951,14.96029105,1.08,1.080397334,3.97334e-4,385.2009656,1.530533859,3.973338584,A,20,17,B,D,U,TRUE
2,BUD,bottom,coarse,4.789,,5.155036076,-26.87607459,0.037460744,1.977917822,0.782224758,41.30127004,52.7997479,5.197182871,-27.02471316,0.366,0.368150131,0.002150131,7.822247585,0.168188577,21.50131091,1.08,1.081507855,0.001507855,413.01270040000003,6.227631832,15.07854801,A,20,17,B,D,U,TRUE
2,BUW,top,fine,4.409,,713.8767584,-26.66637509,0.079499202,1.938873118,1.803111864,43.97534857,24.38858589,713.9189052,-26.81501366,0.366,0.626091981,0.26009198100000003,18.03111864,46.89749367,2600.91981,1.08,1.081738424,0.001738424,439.7534857,7.644781162,17.38424233,G,18,17,B,W,U,TRUE
2,BUW,top,coarse,4.959,,41.32982056,-25.85124752,0.127512657,2.067517622,2.571338115,41.69222872,16.21421488,41.37196735,-25.99988609,0.366,0.381348501,0.015348501,25.71338115,3.946618653,153.4850135,1.08,1.082634666,0.002634666,416.9222872,10.98450801,26.34665584,G,18,17,B,W,U,TRUE
2,BUW,middle,fine,4.338,,250.7463149,-24.804711,0.066273288,1.645746883,1.527738303,37.937918,24.8327334,250.7884617,-24.95334957,0.366,0.457685447,0.091685447,15.27738303,14.00713698,916.8544735,1.08,1.08378532,0.00378532,379.37918,14.36071487,37.85319709,G,18,17,B,W,U,TRUE
2,BUW,middle,coarse,4.637,,163.6653441,-25.90399559,0.047244799,1.927591436,1.01886562,41.5697959,40.80007716,163.7074909,-26.05263416,0.366,0.425956721,0.059956721,10.1886562,6.10878415,599.567208,1.08,1.082576669,0.002576669,415.697959,10.71116053,25.76669021,G,18,17,B,W,U,TRUE
2,BUW,bottom,fine,4.388,,0.62639398,-27.15961334,0.059464678,1.810436892,1.355165864,41.25881705,30.44558466,0.668540775,-27.30825191,0.366,0.36649761,4.9761e-4,13.55165864,0.067434366,4.976096875,1.08,1.081196096,0.001196096,412.5881705,4.934949318,11.96095688,G,18,17,B,W,U,TRUE
2,BUW,bottom,coarse,4.5,,1.469867163,-27.09605899,0.03922078,1.886348016,0.871572891,41.91884481,48.09562716,1.512013958,-27.24469756,0.366,0.366805401,8.05401e-4,8.715728909,0.07019656,8.054009129,1.08,1.081265976,0.001265976,419.1884481,5.306823974,12.6597572,G,18,17,B,W,U,TRUE
2,SCD,top,fine,4.402,,440.3225277,-25.89809797,0.067637267,2.066527076,1.536512201,46.94518573,30.55308361,440.3646745,-26.04673654,0.366,0.52668935,0.16068935,15.36512201,24.69011465,1606.893498,1.08,1.082583153,0.002583153,469.4518573,12.12666193,25.83153467,D,22,17,S,D,C,TRUE
2,SCD,top,coarse,5.033,,271.265319,-27.41556836,0.060839105,2.256797388,1.208803999,44.84000374,37.09451967,271.3074658,-27.56420693,0.366,0.465158786,0.099158786,12.08803999,11.98635367,991.5878566,1.08,1.080914664,9.14664e-4,448.4000374,4.101353786,9.146640153,D,22,17,S,D,C,TRUE
2,SCD,middle,fine,5.02,,278.7540429,-26.78605114,0.086876092,2.208642,1.730599442,43.99685258,25.4228977,278.7961897,-26.93468971,0.366,0.467886015,0.101886015,17.30599442,17.63238809,1018.860151,1.08,1.081606838,0.001606838,439.9685258,7.069580516,16.06837785,D,22,17,S,D,C,TRUE
2,SCD,middle,coarse,4.608,,212.2261745,-25.88629545,0.06641141,2.021733432,1.441219839,43.87442344,30.44256141,212.2683213,-26.03493401,0.366,0.443652786,0.077652786,14.41219839,11.19147353,776.5278572,1.08,1.08259613,0.00259613,438.7442344,11.39037226,25.96130358,D,22,17,S,D,C,TRUE
2,SCD,bottom,fine,4.07,,1.244682019,-27.59314914,0.052623363,1.737373074,1.292957314,42.68729913,33.01524241,1.286828815,-27.74178771,0.366,0.366723229,7.23229e-4,12.92957314,0.093510415,7.232289415,1.08,1.080719407,7.19407e-4,426.8729913,3.070952749,7.194066648,D,22,17,S,D,C,TRUE
