run;date;hrs_after_incubation;pipe_nr;treatment;tinytag;minute;ppm;
1;13.10.2025;6;9;BUW;B;ppm_1;809;
1;13.10.2025;6;9;BUW;B;ppm_2;814;
1;13.10.2025;6;9;BUW;B;ppm_3;820;
1;13.10.2025;6;9;BUW;B;ppm_4;824;
1;13.10.2025;6;9;BUW;B;ppm_5;830;
1;13.10.2025;6;9;BUW;B;ppm_6;836;
1;13.10.2025;6;10;BCW;C;ppm _room;805;
1;13.10.2025;6;10;BCW;C;ppm_0;803;
1;13.10.2025;6;10;BCW;C;ppm_1;805;
1;13.10.2025;6;10;BCW;C;ppm_2;809;
1;13.10.2025;6;10;BCW;C;ppm_3;811;
1;13.10.2025;6;10;BCW;C;ppm_4;815;
1;13.10.2025;6;10;BCW;C;ppm_5;819;
1;13.10.2025;6;10;BCW;C;ppm_6;823;
1;13.10.2025;6;12;BCD;D;ppm _room;756;
1;13.10.2025;6;12;BCD;D;ppm_0;762;
1;13.10.2025;6;12;BCD;D;ppm_1;767;
1;13.10.2025;6;12;BCD;D;ppm_2;769;
1;13.10.2025;6;12;BCD;D;ppm_3;771;
1;13.10.2025;6;12;BCD;D;ppm_4;773;
1;13.10.2025;6;12;BCD;D;ppm_5;774;
1;13.10.2025;6;12;BCD;D;ppm_6;777;
1;13.10.2025;6;13;SUW;E;ppm _room;725;
1;13.10.2025;6;13;SUW;E;ppm_0;720;
1;13.10.2025;6;13;SUW;E;ppm_1;756;
1;13.10.2025;6;13;SUW;E;ppm_2;781;
1;13.10.2025;6;13;SUW;E;ppm_3;802;
1;13.10.2025;6;13;SUW;E;ppm_4;823;
1;13.10.2025;6;13;SUW;E;ppm_5;842;
1;13.10.2025;6;13;SUW;E;ppm_6;860;
1;13.10.2025;6;16;SCD;F;ppm _room;654;
1;13.10.2025;6;16;SCD;F;ppm_0;672;
1;13.10.2025;6;16;SCD;F;ppm_1;693;
1;13.10.2025;6;16;SCD;F;ppm_2;714;
1;13.10.2025;6;16;SCD;F;ppm_3;732;
1;13.10.2025;6;16;SCD;F;ppm_4;748;
1;13.10.2025;6;16;SCD;F;ppm_5;763;
1;13.10.2025;6;16;SCD;F;ppm_6;776;
1;13.10.2025;6;15;SUD;G;ppm _room;622;
1;13.10.2025;6;15;SUD;G;ppm_0;619;
1;13.10.2025;6;15;SUD;G;ppm_1;649;
1;13.10.2025;6;15;SUD;G;ppm_2;667;
1;13.10.2025;6;15;SUD;G;ppm_3;688;
1;13.10.2025;6;15;SUD;G;ppm_4;705;
1;13.10.2025;6;15;SUD;G;ppm_5;721;
1;13.10.2025;6;15;SUD;G;ppm_6;736;
1;13.10.2025;6;11;BUD;H;ppm _room;609;
1;13.10.2025;6;11;BUD;H;ppm_0;615;
1;13.10.2025;6;11;BUD;H;ppm_1;623;
1;13.10.2025;6;11;BUD;H;ppm_2;633;
1;13.10.2025;6;11;BUD;H;ppm_3;643;
1;13.10.2025;6;11;BUD;H;ppm_4;651;
1;13.10.2025;6;11;BUD;H;ppm_5;660;
1;13.10.2025;6;11;BUD;H;ppm_6;667;
1;13.10.2025;12;14;SCW;A;ppm _room;649;
1;13.10.2025;12;14;SCW;A;ppm_0;670;
1;13.10.2025;12;14;SCW;A;ppm_1;693;
1;13.10.2025;12;14;SCW;A;ppm_2;707;
1;13.10.2025;12;14;SCW;A;ppm_3;721;
1;13.10.2025;12;14;SCW;A;ppm_4;734;
1;13.10.2025;12;14;SCW;A;ppm_5;747;
1;13.10.2025;12;14;SCW;A;ppm_6;761;
1;13.10.2025;12;9;BUW;B;ppm _room;650;
1;13.10.2025;12;9;BUW;B;ppm_0;650;
1;13.10.2025;12;9;BUW;B;ppm_1;660;
1;13.10.2025;12;9;BUW;B;ppm_2;668;
1;13.10.2025;12;9;BUW;B;ppm_3;677;
1;13.10.2025;12;9;BUW;B;ppm_4;686;
1;13.10.2025;12;9;BUW;B;ppm_5;694;
1;13.10.2025;12;9;BUW;B;ppm_6;702;
1;13.10.2025;12;10;BCW;C;ppm _room;640;
1;13.10.2025;12;10;BCW;C;ppm_0;624;
1;13.10.2025;12;10;BCW;C;ppm_1;635;
1;13.10.2025;12;10;BCW;C;ppm_2;642;
1;13.10.2025;12;10;BCW;C;ppm_3;650;
1;13.10.2025;12;10;BCW;C;ppm_4;657;
1;13.10.2025;12;10;BCW;C;ppm_5;663;
1;13.10.2025;12;10;BCW;C;ppm_6;670;
