run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,,,,,,,,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C),,
1,BUW,middle,fine,1,B9,21,5.031,,,,,,,,,466,EliseLabRoots_21.raw,4.63,-7.29,6.38,-25.47,5.031,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.05669967,1.76756991,1.12700593,35.13357012,31.17425485,-3.38814303,-27.07479872,0.36600000,-3.38814303,0.36501726,-0.00098274,11.27005931,-0.11075522,-9.82738610,1.08000000,-27.07479872,1.08145278,0.00145278,351.33570118,5.10415030,14.52784413,,
1,BUW,middle,coarse,1,B10,22,4.867,,,,,,,,,467,EliseLabRoots_22.raw,5.04,-4.62,6.63,-25.34,4.867,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.06177889,1.83578672,1.26934227,37.71906153,29.71543810,-0.70875915,-26.95152998,0.36600000,-0.70875915,0.36599502,-0.00000498,12.69342266,-0.00063264,-0.04983979,1.08000000,-26.95152998,1.08158832,0.00158832,377.19061525,5.99099969,15.88321514,,
1,BUW,bottom,fine,1,B11,23,4.306,,,,,,,,,468,EliseLabRoots_23.raw,4.12,-7.10,5.62,-26.65,4.306,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.05051863,1.55627335,1.17321493,36.14197275,30.80592640,-3.19139831,-28.26421518,0.36600000,-3.19139831,0.36508906,-0.00091094,11.73214929,-0.10687311,-9.10942323,1.08000000,-28.26421518,1.08014497,0.00014497,361.41972750,0.52395664,1.44971788,,
1,BUW,bottom,coarse,1,B12,24,5.031,,,,,,,,,469,EliseLabRoots_24.raw,3.76,-5.22,6.60,-24.84,5.031,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.04612271,1.82758508,0.91677023,36.32647752,39.62440782,-1.31537510,-26.45119494,0.36600000,-1.31537510,0.36577365,-0.00022635,9.16770231,-0.02075084,-2.26347203,1.08000000,-26.45119494,1.08213845,0.00213845,363.26477521,7.76823109,21.38448762,,
,,,,,,,,PEACH,,,,,,,,470,peach 1733u.raw,3.89,-3.81,2.91,-24.35,1.73,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.04768718,0.80738354,2.75171237,46.58877898,16.93083168,0.10023835,-25.96291609,0.36600000,0.10023835,0.36629023,0.00029023,27.51712372,0.07986288,2.90229765,1.08000000,-25.96291609,1.08267531,0.00267531,465.88778984,12.46396174,26.75314103,,
,,,,,,,,PEACH,,,,,,,,471,peach 2238u eft ash red.raw,5.61,-1.58,3.76,-25.09,2.24,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.07193423,1.19071253,3.21421930,53.20431328,16.55279503,-1.53608950,-25.23380433,0.36600000,-1.53608950,0.36569311,-0.00030689,32.14219301,-0.09864099,-3.06889428,1.08000000,-25.23380433,1.08347697,0.00347697,532.04313284,18.49895750,34.76965748,,
1,SCD,top,fine,1,C1,25,4.093,,,,,,,,,472,EliseLabRoots_25.raw,3.86,-2.21,6.11,-29.66,4.093,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.04955255,1.93407877,1.21066586,47.25332938,39.03085969,-2.16929613,-29.80640658,0.36600000,-2.16929613,0.36546204,-0.00053796,12.10665862,-0.06512867,-5.37957411,1.08000000,-29.80640658,1.07844922,-0.00155078,472.53329382,-7.32796588,-15.50782978,,
1,SCD,top,coarse,1,C2,26,4.289,,,,,,,,,473,EliseLabRoots_26.raw,3.01,-5.41,6.54,-30.24,4.289,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.03857295,2.07246925,0.89934590,48.32056998,53.72857073,-5.36578167,-30.38856772,0.36600000,-5.36578167,0.36429557,-0.00170443,8.99345903,-0.15328688,-17.04426282,1.08000000,-30.38856772,1.07780907,-0.00219093,483.20569984,-10.58668798,-21.90927795,,
1,SCD,middle,fine,1,C3,27,4.186,,,,,,,,,474,EliseLabRoots_27.raw,4.84,1.12,5.47,-28.85,4.186,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06210247,1.73274139,1.48357546,41.39372647,27.90132865,1.16531944,-29.00022424,0.36600000,1.16531944,0.36667889,0.00067889,14.83575460,0.10071832,6.78889081,1.08000000,-29.00022424,1.07933568,-0.00066432,413.93726473,-2.74985962,-6.64317966,,
1,SCD,middle,coarse,1,C4,28,4.463,,,,,,,,,475,EliseLabRoots_28.raw,3.22,-0.35,6.31,-28.26,4.463,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.04126644,2.00041514,0.92463458,44.82220794,48.47559107,-0.30456974,-28.40964116,0.36600000,-0.30456974,0.36614251,0.00014251,9.24634583,0.01317699,1.42510228,1.08000000,-28.40964116,1.07998507,-0.00001493,448.22207938,-0.06693064,-0.14932473,,
1,SCD,bottom,fine,1,C5,29,4.142,,,,,,,,,476,EliseLabRoots_29.raw,4.70,-0.69,5.57,-28.78,4.142,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06023325,1.76448323,1.45420685,42.59978823,29.29417379,-0.64466358,-28.92468759,0.36600000,-0.64466358,0.36601841,0.00001841,14.54206852,0.00267652,0.18405393,1.08000000,-28.92468759,1.07941874,-0.00058126,425.99788233,-2.47615488,-5.81259903,,
1,SCD,bottom,coarse,1,C6,30,4.045,,,,,,,,,477,EliseLabRoots_30.raw,3.09,0.49,5.53,-26.44,4.045,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.03967651,1.75079582,0.98087792,43.28296217,44.12675736,0.52915708,-26.58743658,0.36600000,0.52915708,0.36644675,0.00044675,9.80877925,0.04382044,4.46747097,1.08000000,-26.58743658,1.08198865,0.00198865,432.82962174,8.60746311,19.88649270,,
1,SCW,top,fine,1,C7,31,4.767,,,,,,,,,478,EliseLabRoots_31.raw,5.28,-2.13,6.80,-29.17,4.767,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06777837,2.15395619,1.42182446,45.18473242,31.77940297,-2.08576207,-29.31779091,0.36600000,-2.08576207,0.36549253,-0.00050747,14.21824459,-0.07215394,-5.07474334,1.08000000,-29.31779091,1.07898649,-0.00101351,451.84732423,-4.57950525,-10.13507220,,
1,SCW,top,coarse,1,C8,32,4.903,,,,,,,,,479,EliseLabRoots_32.raw,5.10,-3.27,7.07,-29.44,4.903,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06544040,2.23896771,1.33470113,45.66526021,34.21384703,-3.22992547,-29.58414538,0.36600000,-3.22992547,0.36507500,-0.00092500,13.34701128,-0.12346008,-9.25001685,1.08000000,-29.58414538,1.07869361,-0.00130639,456.65260210,-5.96564831,-13.06386579,,
1,SCW,middle,fine,1,C9,33,4.352,,,,,,,,,480,EliseLabRoots_33.raw,5.34,-0.62,6.08,-28.76,4.352,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06846649,1.92746283,1.57321898,44.28912745,28.15191535,-0.57367925,-28.91191395,0.36600000,-0.57367925,0.36604431,0.00004431,15.73218976,0.00697071,0.44308561,1.08000000,-28.91191395,1.07943279,-0.00056721,442.89127447,-2.51214294,-5.67214368,,
1,SCW,middle,coarse,1,C10,34,4.88,,,,,,,,,481,EliseLabRoots_34.raw,5.27,-1.61,6.99,-29.03,4.88,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06759168,2.21377925,1.38507540,45.36432894,32.75224510,-1.56620414,-29.18349857,0.36600000,-1.56620414,0.36568212,-0.00031788,13.85075399,-0.04402860,-3.17878752,1.08000000,-29.18349857,1.07913416,-0.00086584,453.64328941,-3.92783433,-8.65842045,,
1,SCW,bottom,fine,1,C11,35,4.493,,,,,,,,,482,EliseLabRoots_35.raw,4.88,2.59,5.86,-28.55,4.493,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06265880,1.85584808,1.39458715,41.30532124,29.61831479,2.63593270,-28.69590128,0.36600000,2.63593270,0.36721553,0.00121553,13.94587151,0.16951575,12.15526383,1.08000000,-28.69590128,1.07967031,-0.00032969,413.05321236,-1.36180962,-3.29693508,,
1,SCW,bottom,coarse,1,C12,36,4.284,,,,,,,,,483,EliseLabRoots_36.raw,3.61,3.75,5.90,-26.83,4.284,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.04634966,1.86858280,1.08192478,43.61771241,40.31492150,3.79168536,-26.98267674,0.36600000,3.79168536,0.36763726,0.00163726,10.81924776,0.17713973,16.37264739,1.08000000,-26.98267674,1.08155407,0.00155407,436.17712407,6.77851918,15.54074894,,
,,,,,,,,PEACH,,,,,,,,484,peach 2628u.raw,6.56,2.01,4.30,-25.93,2.63,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.08415360,1.36243948,3.20463052,51.88269139,16.18991366,2.05625705,-26.07762533,0.36600000,2.05625705,0.36700400,0.00100400,32.04630518,0.32174467,10.03999279,1.08000000,-26.07762533,1.08254919,0.00254919,518.82691388,13.22588988,25.49191171,,
1,SUD,top,fine,1,D1,37,5.167,,,,,,,,,485,EliseLabRoots_37.raw,5.62,-0.66,7.13,-30.41,5.167,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.07207333,2.25904235,1.39487760,43.72057969,31.34366759,-0.61572461,-30.55680453,0.36600000,-0.61572461,0.36602897,0.00002897,13.94877596,0.00404035,0.28965627,1.08000000,-30.55680453,1.07762408,-0.00237592,437.20579687,-10.38767163,-23.75922667,,
1,SUD,top,coarse,1,D2,38,4.292,,,,,,,,,486,EliseLabRoots_38.raw,3.77,-3.65,6.36,-30.43,4.292,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.04834778,2.01410762,1.12646283,46.92701811,41.65873645,-3.60301421,-30.57936661,0.36600000,-3.60301421,0.36493885,-0.00106115,11.26462829,-0.11953457,-10.61149737,1.08000000,-30.57936661,1.07759927,-0.00240073,469.27018111,-11.26592035,-24.00732202,,
1,SUD,middle,fine,1,D3,39,4.325,,,,,,,,,487,EliseLabRoots_39.raw,4.91,-1.30,5.81,-29.42,4.325,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06296295,1.84140105,1.45579078,42.57574693,29.24578691,-1.25667691,-29.57173506,0.36600000,-1.25667691,0.36579507,-0.00020493,14.55790780,-0.02983313,-2.04927313,1.08000000,-29.57173506,1.07870726,-0.00129274,425.75746932,-5.50393857,-12.92740342,,
1,SUD,middle,coarse,1,D4,40,5.002,,,,,,,,,488,EliseLabRoots_40.raw,4.47,-2.58,7.09,-30.03,5.002,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05739540,2.24546851,1.14744900,44.89141357,39.12279648,-2.54130050,-30.18183813,0.36600000,-2.54130050,0.36532629,-0.00067371,11.47448997,-0.07730464,-6.73708697,1.08000000,-30.18183813,1.07803639,-0.00196361,448.91413566,-8.81490865,-19.63606836,,
1,SUD,bottom,fine,1,D5,41,4.428,,,,,,,,,489,EliseLabRoots_41.raw,4.79,-1.21,5.21,-29.35,4.428,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06146221,1.65071308,1.38803543,37.27897648,26.85736665,-1.16881762,-29.49402184,0.36600000,-1.16881762,0.36582713,-0.00017287,13.88035431,-0.02399443,-1.72866099,1.08000000,-29.49402184,1.07879271,-0.00120729,372.78976480,-4.50064571,-12.07287897,,
1,SUW,top,fine,1,D6,43,4.542,,,,,,,,,490,EliseLabRoots_42.raw,4.07,-0.71,5.37,-30.13,4.542,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05214467,1.69994961,1.14805534,37.42733620,32.60063783,-0.66996517,-30.27395501,0.36600000,-0.66996517,0.36600917,0.00000917,11.48055336,0.00105305,0.09172491,1.08000000,-30.27395501,1.07793510,-0.00206490,374.27336203,-7.72836664,-20.64898928,,
1,SUW,top,coarse,1,D7,44,4.824,,,,,,,,,491,EliseLabRoots_43.raw,4.37,-0.87,6.87,-29.92,4.824,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05602225,2.17542020,1.16132368,45.09577532,38.83135777,-0.82413222,-30.07106996,0.36600000,-0.82413222,0.36595291,-0.00004709,11.61323681,-0.00546812,-0.47085260,1.08000000,-30.07106996,1.07815819,-0.00184181,450.95775324,-8.30576694,-18.41805995,,
1,SUW,middle,fine,1,D8,45,4.486,,,,,,,,,492,EliseLabRoots_44.raw,4.96,0.14,6.23,-29.25,4.486,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06355982,1.97261521,1.41684849,43.97269761,31.03556794,0.17732331,-29.40205177,0.36600000,0.17732331,0.36631836,0.00031836,14.16848491,0.04510664,3.18358982,1.08000000,-29.40205177,1.07889384,-0.00110616,439.72697608,-4.86407957,-11.06159011,,
1,SUW,middle,coarse,1,D9,46,4.758,,,,,,,,,493,EliseLabRoots_45.raw,4.57,3.68,6.47,-28.03,4.758,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05863363,2.05006015,1.23231681,43.08659415,34.96389381,3.72540708,-28.18262667,0.36600000,3.72540708,0.36761308,0.00161308,12.32316812,0.19878252,16.13079651,1.08000000,-28.18262667,1.08023468,0.00023468,430.86594153,1.01116838,2.34682829,,
1,SUW,bottom,fine,1,D10,47,4.172,,,,,,,,,494,EliseLabRoots_46.raw,4.47,0.73,5.55,-28.57,4.172,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05730782,1.75826135,1.37362947,42.14432761,30.68100130,0.76826047,-28.71891185,0.36600000,0.76826047,0.36653400,0.00053400,13.73629472,0.07335160,5.33998431,1.08000000,-28.71891185,1.07964500,-0.00035500,421.44327614,-1.49610322,-3.54995156,,
1,SUW,bottom,coarse,1,D11,48,4.289,,,,,,,,,495,EliseLabRoots_47.raw,2.91,4.41,5.76,-26.82,4.289,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.03726990,1.82596982,0.86896483,42.57332281,48.99314826,4.45184257,-26.96504833,0.36600000,4.45184257,0.36787816,0.00187816,8.68964831,0.16320523,18.78156908,1.08000000,-26.96504833,1.08157346,0.00157346,425.73322811,6.69873251,15.73457758,,
2,BCD,middle,fine,1,D12,51,4.285,,,,,,,,,496,EliseLabRoots_48.raw,4.96,96.84,5.11,-26.73,4.285,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06367443,1.61955331,1.48598430,37.79587652,25.43490969,96.87982383,-26.88041513,0.36600000,96.87982383,0.40159374,0.03559374,14.85984302,5.28917462,355.93744958,1.08000000,-26.88041513,1.08166651,0.00166651,377.95876522,6.29873546,16.66513927,,
,,,,,,,,PEACH,,,,,,,,497,peach 1969u.raw,4.86,1.75,3.34,-25.87,1.97,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06228276,1.05924115,3.16316711,53.79589398,17.00697182,1.79187887,-26.01789732,0.36600000,1.79187887,0.36690753,0.00090753,31.63167115,0.28706558,9.07525806,1.08000000,-26.01789732,1.08261486,0.00261486,537.95893977,14.06688510,26.14862224,,
